,SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges
5968,0,0,0,12,0,1,1,0,2,74.05
2856,0,0,0,1,0,0,0,1,2,50.15
1292,0,0,0,62,0,1,2,0,1,84.5
936,0,1,1,0,1,0,2,0,2,80.85
916,1,0,0,23,1,0,0,1,1,75.4
3702,1,0,0,20,1,0,0,1,2,79.15
5317,0,0,0,6,0,1,0,1,1,49.65
454,0,1,0,61,0,0,2,0,2,24.4
2103,1,1,0,11,0,0,0,1,2,70.2
3385,0,0,0,12,0,0,0,1,2,96.05
139,1,1,0,1,0,0,0,1,2,70.45
2335,0,0,0,5,1,0,0,1,2,55.8
4965,0,0,0,6,0,0,0,1,2,47.95
1802,0,1,1,7,1,0,2,0,2,38.55
35,0,1,1,72,1,1,2,0,1,99.9
4070,1,1,0,55,0,0,0,1,2,74.0
6830,0,0,0,35,0,0,2,1,2,20.2
6365,1,1,0,7,0,0,0,1,2,101.95
6324,0,1,1,9,0,1,0,1,2,75.85
111,0,0,0,52,1,1,1,0,0,57.95
4815,0,0,0,38,0,0,1,1,1,70.45
3470,0,1,1,8,1,0,0,1,0,51.3
6625,1,0,0,12,0,0,0,1,2,91.3
3134,0,1,1,36,0,0,0,0,1,19.2
4796,0,1,0,55,1,0,1,1,2,94.75
2733,0,1,0,1,0,0,0,1,2,55.3
1452,1,0,0,52,1,0,0,1,0,48.8
6462,0,0,0,2,0,0,0,0,2,95.65
5936,0,1,1,38,0,0,2,1,2,19.95
3718,0,1,0,57,1,0,0,1,2,99.65
1632,0,0,0,48,0,0,1,1,0,106.1
3056,0,1,1,50,1,1,2,1,0,70.5
4577,1,1,0,62,1,0,1,1,2,104.85
6749,0,1,0,70,1,1,1,0,1,79.4
893,0,0,0,1,0,0,0,0,2,24.6
5235,0,0,0,9,1,0,0,1,2,81.15
1686,0,1,1,26,0,1,0,1,2,60.05
4441,0,1,0,42,0,0,2,0,2,20.25
1911,0,1,1,72,1,1,2,0,0,106.1
1328,0,1,0,23,0,1,0,0,2,54.25
172,0,1,0,14,0,1,2,0,2,81.95
3854,0,1,0,50,1,1,0,1,1,109.65
4991,0,0,0,58,1,0,1,1,2,106.45
5019,1,0,0,14,0,0,0,1,2,95.6
5853,0,1,0,62,1,0,1,0,2,96.1
647,0,1,1,50,0,1,1,1,2,69.65
5661,0,0,0,4,0,0,0,1,2,19.85
6842,0,0,0,13,0,0,1,1,2,19.95
2835,1,0,0,66,1,1,1,1,0,63.85
1164,1,1,0,71,1,1,2,1,1,82.7
5955,0,1,1,72,1,1,2,0,1,68.4
1758,0,0,0,68,0,0,2,0,1,20.05
4046,0,0,0,44,0,0,0,1,2,50.15
6742,0,1,1,52,1,0,2,0,2,79.2
549,0,0,0,15,0,0,0,0,2,19.75
1549,0,0,0,1,0,0,0,1,2,45.85
5687,0,0,0,43,1,1,1,1,0,90.65
5713,1,0,0,49,1,1,2,0,0,81.35
2402,0,0,1,6,0,0,0,0,2,19.7
15,0,1,1,69,1,1,2,0,0,113.25
5979,0,0,0,53,0,0,2,0,1,19.65
5134,1,0,0,15,0,0,0,1,2,80.2
338,0,0,0,36,0,0,0,1,0,94.8
4761,0,1,1,72,0,0,2,0,1,25.0
3487,0,1,1,52,0,0,2,0,1,20.1
1790,0,0,0,12,0,0,0,0,1,78.1
2478,0,0,0,4,0,0,0,0,2,44.55
6383,0,0,1,23,1,1,2,0,2,40.1
167,0,1,0,72,1,1,2,1,1,89.05
4825,0,0,0,22,0,0,0,0,2,83.05
6557,0,0,0,33,0,0,0,1,2,100.0
3282,0,1,0,60,0,0,1,0,1,102.5
1969,0,0,0,60,1,0,2,0,2,53.6
6253,0,0,0,56,0,0,0,1,0,44.85
4493,0,0,1,18,0,0,2,0,0,25.3
5778,0,0,0,1,0,0,0,0,0,20.3
3257,0,0,0,22,0,0,0,1,2,93.2
3007,1,0,0,32,0,0,0,1,2,74.4
420,0,1,1,5,0,0,0,1,2,24.3
6734,0,0,0,12,0,1,0,0,1,50.25
6891,0,1,0,4,1,0,0,1,2,29.05
4999,0,1,1,16,0,0,2,0,2,19.7
5177,1,1,0,36,0,0,0,1,2,84.1
700,0,1,1,66,0,0,2,1,1,63.3
3059,0,1,1,64,0,0,2,1,2,24.05
634,0,0,0,40,1,1,1,1,1,54.55
3561,0,0,0,26,0,1,0,1,2,80.5
4721,0,0,0,1,0,0,0,0,2,20.25
3271,1,1,0,12,0,0,0,1,2,101.35
2691,0,0,0,7,1,0,1,1,2,59.1
5931,1,1,0,13,0,0,0,1,2,98.0
3922,1,1,0,67,0,0,0,1,0,94.65
5773,0,0,0,35,1,0,0,0,2,60.55
337,0,0,0,68,1,1,2,1,2,88.15
3139,0,0,0,2,0,1,0,0,1,29.85
1673,0,1,0,41,1,1,0,1,1,113.6
538,0,1,0,69,0,0,1,1,0,95.65
6265,0,0,0,2,0,0,0,1,2,45.25
860,0,0,0,26,0,0,1,0,0,19.8
1757,0,1,1,54,0,1,2,1,1,79.95
2115,0,0,0,71,1,1,2,1,2,118.65
2572,0,1,0,71,0,0,2,0,1,25.0
3377,0,1,0,68,0,0,2,0,0,25.05
4589,0,1,1,10,0,0,2,0,2,20.15
4822,0,1,1,72,1,1,2,1,0,104.9
2823,0,1,0,39,0,0,2,1,1,20.45
861,0,1,1,64,1,0,2,0,1,93.4
1240,0,0,0,25,0,0,0,1,2,20.15
223,0,1,0,4,0,1,0,0,2,50.05
4451,1,0,0,45,0,0,0,1,1,93.9
3507,0,0,0,4,0,0,0,0,2,19.75
5900,0,1,1,37,1,0,0,0,1,40.2
5873,0,0,0,18,1,0,0,1,2,75.4
2094,0,0,0,18,0,0,0,0,2,19.65
1475,1,1,0,69,0,1,2,0,0,105.4
6576,0,0,0,2,0,0,0,0,2,20.3
1792,0,1,1,42,1,0,0,1,1,69.4
6518,0,0,0,1,0,0,0,0,2,45.3
4131,0,0,0,1,0,0,0,1,2,20.25
2197,0,1,0,66,0,1,0,0,2,63.85
2778,0,0,0,13,0,0,1,1,2,74.65
755,1,0,0,20,0,0,0,1,2,98.55
922,0,1,0,16,0,0,0,1,2,75.4
1224,0,1,1,1,0,0,0,1,2,45.85
5007,0,0,0,25,0,0,0,0,2,20.6
6726,1,0,0,2,0,0,0,0,2,70.75
5319,1,1,0,72,1,1,2,1,2,109.75
3994,1,1,0,54,0,0,1,1,0,101.5
6964,0,1,0,49,0,1,1,1,0,56.3
1806,0,1,1,36,0,0,2,0,0,25.1
3793,0,0,0,9,0,0,0,0,2,20.25
852,0,0,0,2,0,0,0,0,2,24.85
1574,0,0,1,15,0,0,1,0,2,19.65
2838,0,0,0,41,0,0,2,0,2,20.0
7020,0,1,1,12,0,0,0,1,2,19.2
1371,1,0,0,1,0,0,0,1,2,79.2
130,0,0,0,13,0,0,0,1,2,85.95
1412,0,1,0,15,0,0,0,1,2,84.3
4671,0,0,0,25,0,0,0,1,2,100.25
2581,0,0,0,10,0,0,0,0,0,20.0
2813,0,0,0,68,0,0,2,0,2,24.55
390,0,0,0,27,0,0,0,1,1,95.6
1888,0,0,0,23,0,0,1,0,1,55.8
4255,0,1,0,13,0,0,1,1,2,75.3
763,0,1,1,72,1,1,2,0,1,66.85
2959,0,1,1,27,1,1,0,0,2,100.75
4333,0,1,0,31,1,1,0,1,0,90.55
3422,0,0,0,70,1,1,2,1,1,58.35
1930,0,0,0,3,0,0,0,1,2,20.5
6682,0,1,0,69,0,1,2,1,2,92.45
6261,0,1,1,62,0,0,2,0,1,20.45
4937,0,0,0,36,1,1,1,1,2,76.35
4568,0,0,0,26,0,1,1,1,2,85.2
2655,0,0,1,4,0,0,0,0,2,89.6
5974,0,1,1,10,0,0,0,1,0,20.05
3178,0,1,0,52,1,0,0,0,2,84.1
3201,0,0,0,50,0,1,2,1,2,79.6
1345,0,1,0,57,0,0,1,1,0,100.75
2847,0,1,0,26,0,0,0,0,1,79.3
5538,0,0,0,1,0,0,0,1,2,81.1
6729,0,1,1,68,0,1,2,1,1,72.95
5435,0,1,1,46,0,1,1,0,1,90.95
4268,0,1,1,35,0,1,1,1,2,89.7
3871,0,0,0,3,0,0,0,1,1,101.55
5477,0,1,1,72,1,1,2,1,1,84.2
6601,1,1,0,72,0,1,2,0,0,109.7
2503,0,1,1,44,0,0,1,0,1,20.6
282,0,0,1,1,0,0,0,0,2,25.4
6500,0,0,0,21,1,1,2,0,2,35.1
5480,0,0,0,1,0,0,0,1,2,45.4
809,0,0,0,1,0,0,0,1,2,69.55
2367,0,0,0,1,0,0,0,1,0,85.55
4687,0,1,0,22,0,0,0,1,0,94.7
872,0,0,1,66,0,0,2,0,0,19.95
1435,1,1,0,65,1,0,0,1,0,109.4
138,0,0,1,57,0,0,2,1,2,19.6
4821,0,1,0,56,0,1,1,1,1,54.05
5097,0,0,0,35,1,1,0,1,2,96.75
5890,0,0,0,69,1,1,2,1,0,85.35
706,0,0,0,65,1,1,2,1,2,59.6
4042,0,0,0,5,0,0,0,1,2,51.35
5057,0,0,0,9,0,0,0,1,2,75.85
2162,0,1,0,28,0,0,0,0,0,96.6
4633,0,1,1,72,0,0,2,1,1,24.05
109,0,1,1,72,0,0,2,0,0,19.4
6239,0,1,0,72,0,0,2,1,2,99.4
6143,0,1,1,50,0,0,1,1,2,20.35
6051,0,0,0,16,0,0,0,0,2,20.0
4296,0,1,1,35,1,1,0,0,2,72.25
7001,0,0,0,3,0,0,0,1,2,49.9
5551,0,0,0,20,0,0,0,1,0,19.6
1661,1,1,0,65,0,0,0,1,1,108.8
3312,0,0,0,1,0,0,0,0,2,20.3
1415,0,0,0,64,1,0,1,1,0,100.3
6962,1,1,0,27,1,0,0,1,2,101.25
5589,0,0,0,46,0,1,2,0,0,54.35
4157,0,0,0,11,0,0,0,0,0,45.2
6556,0,1,1,6,0,0,1,0,0,19.0
4290,0,1,1,1,0,1,0,0,2,40.1
592,0,1,1,63,1,0,2,0,0,83.5
6812,1,0,0,45,1,1,0,1,1,85.7
5238,0,1,0,33,0,1,1,1,0,53.75
4777,0,0,1,2,0,0,0,0,2,51.55
5259,1,1,0,30,0,0,0,0,2,77.9
866,0,1,0,62,0,1,2,1,1,39.0
2218,0,1,1,71,1,1,2,1,0,82.0
5642,0,0,0,20,0,0,1,0,2,19.5
6558,0,0,0,16,0,0,0,0,1,20.25
4076,0,1,0,70,1,0,2,1,0,99.35
1906,0,0,0,40,0,1,1,0,0,36.0
3584,0,1,0,8,1,0,0,1,2,75.0
5517,1,1,1,71,1,0,1,1,1,86.7
1627,0,0,0,11,0,0,0,1,2,75.9
856,0,0,0,72,1,1,2,0,0,86.05
1038,0,1,0,56,0,0,1,1,2,80.9
1356,0,0,0,9,0,0,0,1,0,75.2
4235,1,1,0,56,1,1,1,0,2,95.65
219,0,0,0,8,0,0,0,1,1,80.0
4358,0,1,1,13,0,0,1,1,2,64.75
4306,0,1,1,40,1,1,0,1,0,110.1
6047,0,1,0,13,1,0,0,1,2,65.85
4728,0,0,0,46,1,1,2,0,2,38.25
3914,0,0,0,39,0,0,1,0,2,19.9
6513,0,1,1,15,0,1,0,1,1,59.65
1089,0,0,0,16,0,0,0,1,0,74.75
173,0,1,0,53,0,0,1,1,1,94.85
3284,0,0,0,40,0,0,0,1,2,84.9
1407,0,0,1,8,1,1,2,1,2,44.55
2180,1,1,0,71,0,1,2,1,0,95.5
5945,1,1,1,57,0,1,0,1,0,95.3
6698,0,0,0,40,0,1,1,1,0,89.6
480,0,1,1,11,0,0,2,0,2,19.65
1416,0,1,1,58,0,1,2,1,0,55.5
306,1,1,0,32,0,0,0,1,2,74.9
867,0,0,0,5,0,0,0,1,2,20.5
5149,0,0,0,62,0,0,2,1,0,19.2
4055,0,0,0,54,1,0,2,0,1,46.2
622,0,1,1,40,0,0,1,1,2,85.05
4434,0,1,0,16,1,0,0,0,2,90.7
5400,0,0,0,33,0,0,0,1,1,70.4
2146,0,0,0,62,1,1,1,1,0,115.05
803,0,1,0,46,0,1,2,1,0,64.2
1444,0,0,1,41,1,1,2,1,2,111.15
1570,0,1,1,23,0,0,2,0,1,20.4
1040,1,0,0,14,0,0,0,0,0,90.45
5680,1,1,0,1,0,0,0,1,2,20.85
5308,0,0,0,69,1,1,2,1,0,82.45
6175,0,1,1,32,1,0,1,1,2,90.8
992,0,1,1,22,0,0,2,0,0,25.25
6914,1,1,0,43,0,0,0,1,2,103.0
135,0,0,0,43,0,0,2,1,0,25.7
5438,0,1,0,9,0,0,0,1,2,79.9
3873,0,1,1,51,1,1,2,0,1,34.2
6407,0,0,0,15,0,0,1,0,2,56.15
2827,0,0,0,1,0,0,0,1,2,50.15
4125,0,1,0,43,1,0,0,1,0,86.1
4330,0,0,0,19,0,0,0,1,2,78.25
2714,0,0,0,54,0,1,2,1,1,95.1
4880,0,1,0,50,0,0,2,0,2,20.55
3292,0,0,0,5,0,0,0,1,0,50.95
5635,0,1,0,22,0,0,0,1,2,54.7
926,1,0,0,3,0,0,0,1,2,79.4
4161,1,0,0,2,0,0,0,0,2,49.95
4514,0,0,0,28,0,0,0,1,2,80.6
6586,0,1,1,45,0,0,2,1,0,24.65
6109,0,0,0,2,0,0,0,0,2,54.15
4876,0,0,0,10,1,0,0,1,2,104.4
3327,0,1,0,66,0,0,1,0,2,95.3
4318,0,0,0,56,0,1,1,1,1,75.75
2488,0,0,0,31,0,1,0,1,2,55.25
5681,1,1,0,34,0,1,1,0,1,64.2
3686,0,0,0,13,0,0,0,1,2,75.0
6820,0,1,0,59,0,1,0,0,2,93.35
6263,0,0,0,25,0,1,1,0,2,54.2
3977,0,1,0,63,1,1,2,1,0,110.1
5618,0,0,0,11,0,0,0,0,2,20.35
205,0,0,0,33,0,1,1,1,1,79.95
1003,0,0,0,37,0,0,2,0,2,19.85
5103,0,1,1,28,1,0,1,1,1,82.85
3615,1,1,1,26,0,0,0,0,2,105.75
7034,0,0,0,67,1,0,0,1,0,102.95
4026,0,1,1,72,1,1,2,1,0,114.3
789,0,0,0,72,1,1,2,0,1,69.65
3388,0,1,0,65,1,0,0,1,2,55.15
3971,0,0,0,25,0,0,2,0,0,24.75
2677,0,0,0,4,0,0,0,1,0,70.05
1503,1,0,0,45,0,0,1,1,1,102.15
4623,1,1,0,69,0,0,0,1,1,95.35
862,1,1,0,20,0,0,0,1,2,73.65
2100,0,1,0,69,0,0,1,0,1,99.5
870,0,1,0,72,1,1,2,1,1,98.2
3488,0,0,0,9,0,0,0,0,2,59.9
4855,0,1,0,64,1,1,2,1,0,104.05
6136,0,1,1,46,0,0,2,0,1,20.25
3990,0,0,0,14,0,0,0,1,2,92.9
292,0,1,1,23,0,1,1,0,2,86.8
871,0,1,1,57,0,0,1,1,0,97.55
2722,0,1,1,32,0,0,2,0,2,18.95
928,0,1,1,68,0,1,2,1,0,103.75
1699,0,0,0,42,0,0,1,1,2,20.65
6159,0,0,1,2,0,0,1,0,1,20.5
4176,0,1,1,18,0,0,1,0,1,19.8
3125,0,0,0,4,0,0,0,0,2,19.0
4075,0,0,0,53,1,0,0,1,1,46.3
1808,0,0,0,23,0,0,0,1,2,79.15
3190,0,1,1,66,0,1,2,0,1,54.65
1928,0,1,1,31,0,0,0,1,2,19.55
3012,0,1,1,54,1,1,2,1,0,65.65
5187,1,0,0,41,0,0,0,1,2,104.4
392,1,0,0,2,0,0,0,1,2,44.3
230,0,0,0,54,1,1,2,1,0,108.0
123,0,1,1,7,1,0,0,0,2,50.7
177,1,0,0,7,1,0,0,0,1,76.45
5668,1,1,0,39,0,1,0,1,2,101.25
3347,0,1,1,23,0,0,2,0,2,20.9
6870,0,0,0,49,0,0,0,1,1,74.6
3296,0,0,0,24,0,0,0,1,0,49.3
5862,0,0,0,17,0,0,0,0,1,70.5
6809,1,1,0,4,0,0,0,0,2,74.95
354,1,0,0,21,1,0,0,1,2,41.9
4969,0,1,0,2,0,0,0,0,1,19.85
4794,0,0,0,2,0,0,0,0,2,19.35
4428,0,1,1,19,0,1,0,0,2,103.3
3102,0,0,0,5,1,1,0,0,2,54.2
4592,0,1,1,39,0,0,1,1,2,24.2
4236,0,0,0,1,0,0,0,0,0,19.95
1913,0,0,0,65,0,0,1,1,2,95.5
1329,0,1,0,72,0,0,2,0,1,19.4
1837,0,0,0,1,0,0,0,0,1,20.05
2083,0,0,0,1,0,0,0,1,2,20.15
165,0,1,0,69,0,0,2,0,2,19.9
1889,0,0,0,14,0,0,0,1,2,31.1
5545,1,1,0,21,0,0,0,0,1,86.55
5185,0,0,1,50,1,1,1,1,0,70.8
