,Churn
5417,0
4939,0
6387,0
274,1
769,0
2281,1
6292,0
2112,0
3395,0
5958,0
4550,0
6748,1
4537,0
1730,1
3799,1
2798,1
815,0
5837,0
59,0
532,0
2227,0
1487,0
1954,1
6454,0
4583,0
6877,1
1052,0
4882,0
3338,1
1163,1
3626,0
3141,1
5075,0
5492,0
4040,0
5971,0
152,0
102,0
6905,0
2186,0
5755,0
2753,1
4225,0
2372,0
6916,0
1123,0
1672,0
4851,1
6311,0
493,0
6166,1
169,0
1366,1
2795,1
1302,0
3931,0
6552,1
2694,0
5542,0
2774,0
4297,0
5511,0
136,0
3457,0
439,0
3514,0
5505,0
2504,1
4745,0
2574,1
4670,0
38,1
4196,0
1465,0
2400,0
3862,0
3616,0
175,0
3906,1
4846,0
255,0
2844,1
7021,1
2821,1
6880,0
414,0
2276,0
5894,1
5612,0
6773,1
4016,0
5116,1
2907,1
5709,0
2800,0
2825,0
1434,1
6278,0
5609,1
5433,0
2086,1
6274,0
7023,0
6585,0
758,1
5276,0
1313,1
6627,0
5982,0
2017,0
1551,0
6385,1
4551,0
2244,1
2059,0
645,1
3060,0
6746,1
5879,0
2955,1
3700,1
641,1
6845,0
1081,0
6083,0
2651,1
6111,0
3494,1
6642,0
3128,0
2885,0
3851,0
4618,0
2580,0
5834,0
3741,0
113,1
4473,0
4566,0
5310,0
5864,0
2904,1
3316,0
4378,0
633,0
5447,0
1914,0
3605,0
3843,1
2425,0
276,1
939,0
4911,0
3629,0
1532,0
6214,0
4899,1
1980,0
478,1
3606,0
1317,0
6638,0
2666,0
5398,0
3441,0
3425,0
5914,0
6112,0
5878,0
3104,0
1768,0
672,1
5781,0
6026,0
6232,1
2127,1
4056,1
1334,1
4883,1
6648,0
5493,1
158,0
2334,0
1491,0
1531,0
305,0
3346,0
4412,0
446,1
2004,1
2635,0
5028,0
4617,0
3656,0
3179,0
4841,0
6420,0
1711,0
163,0
5102,0
6802,0
3068,0
605,0
2410,0
2128,0
811,1
6017,0
5044,0
3648,0
6069,0
1176,1
3908,0
5719,0
3581,0
4025,1
1779,0
5671,0
4469,0
2468,1
6995,0
4739,0
3409,0
638,1
2200,0
4192,0
6357,1
6831,1
1045,0
6370,1
2313,0
2831,1
2294,1
3363,0
6695,0
2697,0
3652,1
1765,0
3669,0
560,0
2092,0
3500,0
6293,0
7025,0
4305,0
1450,0
5770,0
6369,0
3224,1
2638,1
1187,0
659,0
1326,0
4717,0
4759,1
3266,0
3132,0
4129,0
2084,1
2208,1
4407,0
3888,1
863,1
6680,1
1382,0
6395,1
3524,1
4185,0
2657,0
2432,0
6359,0
5422,0
1948,1
6631,0
4002,0
3820,0
1952,0
80,1
3175,1
2220,0
4607,0
6408,1
1278,0
3671,1
6847,0
4990,0
2624,0
2510,1
4616,0
3927,1
437,0
4587,0
4319,0
5272,1
621,0
2029,1
3311,0
6325,1
6313,1
3805,1
4463,1
2198,0
3757,0
5390,1
5099,1
5527,0
6937,0
6827,0
6004,0
3072,0
1072,0
4037,0
4978,1
3297,0
3010,0
4877,0
2278,0
5856,0
695,0
2782,0
4028,0
6068,1
5349,0
1010,0
4264,0
3199,0
3169,0
5213,0
259,0
2650,0
39,1
4600,0
1963,0
5312,1
4218,0
6153,0
777,1
2705,0
2608,1
1144,1
4840,0
5467,0
5787,1
1421,1
6862,1
5460,0
2439,0
2054,1
1266,0
3537,0
6888,0
166,1
6499,0
3336,0
2225,0
1567,0
6238,0
4957,0
3970,0
4272,1
6090,0
1721,1
3795,0
6528,0
3904,0
2305,0
4770,0
1258,0
6191,0
4651,1
6419,0
4345,0
858,0
1872,0
4782,0
2934,0
6574,0
5268,0
3732,0
3759,1
3063,0
6532,0
3468,0
1671,0
3620,0
1314,1
6059,0
5479,0
2861,1
1140,0
3357,1
3215,0
1222,0
6615,0
4885,0
2671,0
610,1
1248,1
779,1
2610,1
116,0
5155,0
2973,1
2120,0
5048,0
5486,0
5772,0
5631,0
6461,0
1702,1
6506,1
4363,0
556,0
4116,0
6953,1
2259,0
1515,0
3991,1
2921,1
4222,0
7013,0
630,1
1180,0
5418,0
1012,0
2502,0
5171,0
2864,0
2275,1
5780,0
3711,0
6182,0
6550,1
5241,0
6430,0
384,0
2481,0
6760,1
5193,0
3240,1
1069,0
5989,1
3098,1
2366,1
3695,0
4906,0
6861,1
2057,1
5789,0
3432,0
5344,0
1576,0
1582,0
3575,0
6927,0
636,0
231,0
6181,0
6609,1
3720,0
6794,0
6841,0
4279,0
3956,1
4433,0
2377,0
2360,0
4919,0
5133,1
5127,1
2905,0
3689,1
303,0
6389,0
81,0
1170,0
2296,0
5409,1
2974,1
6101,0
2237,0
627,0
1514,0
2143,0
5604,0
4516,0
1158,0
1857,0
6545,1
887,0
1685,0
285,0
1031,0
3091,0
6712,0
6064,1
6102,0
2122,0
204,0
6685,0
3609,0
5265,0
5042,0
629,1
4074,1
398,0
1477,1
5366,0
6318,0
2293,0
5963,0
5727,0
1106,0
3913,0
6967,1
1336,0
5999,0
5397,1
5086,1
6130,0
6073,0
4542,0
1056,1
1405,1
623,0
1206,0
2870,0
236,0
358,1
1440,0
5897,0
5865,0
40,0
112,0
1775,0
3075,0
503,0
5977,0
5983,0
3766,1
1259,1
3864,1
6176,1
6977,0
150,0
3578,0
5973,0
1804,0
1079,0
5260,0
3996,0
5877,1
5585,1
4733,0
5892,0
3421,0
3344,1
5564,0
5922,0
222,0
314,1
740,0
736,0
1013,0
3466,0
1272,0
3910,1
954,0
5182,0
6660,1
767,0
3808,0
6362,0
2477,0
3983,1
3065,0
1535,0
924,0
617,0
5215,1
1432,0
6592,0
985,1
2587,0
321,0
5197,0
3564,0
4751,1
4970,0
103,0
6971,1
4334,0
2964,0
1890,1
5375,1
77,0
689,0
3831,1
457,0
3550,1
3714,0
1946,0
6866,1
932,0
3558,0
4204,0
5841,1
3565,1
3009,0
5998,0
6284,0
6427,0
3106,0
2239,0
6477,0
2500,0
3628,0
1367,0
4156,0
947,0
3318,1
6041,0
6667,1
1417,0
370,0
5568,0
1256,0
978,1
3454,0
4416,0
2566,0
4848,1
3146,1
6451,0
2540,0
5168,1
5372,0
4652,0
4197,0
5196,0
5883,0
5373,0
4282,0
2365,0
4194,0
6031,0
3103,1
4359,0
5169,0
4364,0
2963,0
881,0
389,0
3449,0
1398,0
3192,0
74,0
3742,0
6049,0
6405,0
3189,0
4023,0
4960,1
3364,1
1149,1
649,0
5851,0
5748,0
1298,0
5357,0
1361,1
885,0
840,1
2737,0
953,0
1155,0
2953,1
3176,0
3945,1
5314,0
215,0
2101,1
2187,0
2007,1
4460,0
3560,0
3037,0
1431,0
3995,1
3902,0
3587,1
4685,0
203,0
6063,0
5106,0
211,0
3029,1
2806,0
6189,0
735,0
4159,0
2539,0
93,0
5414,1
3341,0
5907,0
404,0
6098,0
4058,1
2144,0
5256,1
4103,0
5139,0
5496,0
4177,0
3375,0
1508,0
3168,0
2292,0
6124,0
1397,0
2544,0
5903,0
1385,0
1525,0
2659,0
5218,0
4485,0
1616,0
3370,0
3961,0
1433,0
6416,0
5484,0
697,1
1526,0
4834,0
3637,1
184,1
4379,0
1769,0
4692,0
5845,1
371,1
6865,0
5371,1
1470,0
5194,1
4934,0
2273,0
1111,1
6121,0
3857,0
523,1
559,0
6757,1
4588,0
1713,0
5603,1
65,0
6014,0
5023,1
1252,0
3835,0
3623,0
4387,0
1374,0
3499,1
1803,0
4400,0
429,0
940,0
6898,0
1183,0
4362,0
1197,0
5343,0
2869,1
5678,1
83,0
1682,0
3777,0
6450,0
6823,0
5751,0
3974,0
838,0
6380,0
266,0
5839,0
6361,0
5572,0
1307,0
6290,1
5570,0
6289,1
1667,0
1000,1
4631,1
4139,0
6756,0
4280,0
6725,0
3155,0
4771,1
4648,0
5121,0
4449,0
5882,0
3127,1
4817,0
2744,0
3393,0
6312,1
3724,0
3893,0
3767,0
1647,1
5970,0
6636,0
5074,0
1378,0
3630,1
4741,0
3270,0
2421,0
4206,0
2987,0
5471,0
4863,0
4381,1
3690,1
2405,1
1320,0
23,0
3361,0
6337,0
5342,1
3677,0
5580,0
4243,0
2811,0
4881,0
3455,1
3067,1
2658,0
3045,0
1455,0
1715,0
3972,0
2331,0
3016,1
3469,0
4289,0
606,0
511,0
6892,0
5411,1
1615,0
1670,1
6555,0
4146,1
5762,0
4788,0
6826,0
3989,0
2082,0
738,0
3342,0
1523,0
6093,0
5335,0
4916,0
278,0
3562,1
2376,0
3495,1
1037,0
187,0
4173,0
688,0
5273,0
6200,0
6715,0
2210,0
4601,0
6079,0
3362,1
3804,0
6774,0
2770,1
2602,0
6226,0
5560,0
5055,0
3090,1
6554,1
3267,0
5908,1
6944,0
2754,0
1390,0
5426,0
5984,1
4,1
6568,0
5502,1
813,0
416,0
5619,0
4864,0
1597,0
5815,1
357,0
1529,0
5942,1
3170,0
155,0
2914,0
2576,0
3228,0
2212,0
6917,0
4993,0
1846,0
5946,1
3315,0
3850,0
5728,1
670,0
2025,0
5391,0
3335,0
1764,0
2274,1
4106,1
4596,0
377,1
6417,1
6470,0
1887,1
744,0
32,0
2388,0
4113,0
6918,1
1988,1
206,0
6750,0
5675,0
2790,1
3890,1
6396,0
3193,0
938,0
1662,1
6672,0
2394,0
3360,1
6848,0
1559,0
4478,0
784,0
801,1
5021,0
5024,0
3353,0
536,0
1791,0
6856,0
5742,0
1093,0
4975,0
5200,0
2505,0
3510,0
1880,1
773,1
142,0
5911,0
1778,0
3905,1
6818,0
4954,1
4917,0
4317,0
4987,0
5869,0
284,1
3221,0
5613,0
6151,1
2300,1
5179,1
1413,0
1539,0
2579,0
1247,0
4897,0
3817,0
6025,0
4191,0
3937,0
2021,0
6516,1
4501,0
5395,1
6613,0
4291,0
3207,0
3458,1
5100,1
1838,0
5233,1
2915,0
3701,0
4336,0
1701,1
5960,0
5734,0
5122,0
6411,0
6301,0
2224,1
436,0
1724,0
1239,0
3025,0
5807,0
1232,1
6581,0
5876,1
2757,0
3957,0
3475,0
848,0
3423,1
3529,0
345,0
1036,0
3643,0
2776,1
3749,1
3183,1
2441,0
892,0
1244,1
3182,0
3625,0
6902,0
2854,0
1118,0
5923,0
5068,0
833,0
6606,1
4706,1
5434,0
6668,0
5405,0
6280,0
1201,0
3535,0
4718,0
6730,0
1962,0
3665,0
5990,0
4117,0
4924,1
5457,0
1055,0
1043,1
4167,0
6190,1
5208,0
5766,0
6326,0
3538,0
5430,1
5451,0
3140,0
2417,0
1602,1
4779,0
3632,0
4453,1
5069,1
6957,0
2014,0
3445,0
574,0
2424,1
2473,0
347,0
4766,0
2969,0
6276,0
6266,1
5913,0
6784,0
4488,1
5331,0
5555,0
4784,0
2026,0
289,1
1084,0
199,0
2061,1
3522,0
2898,0
6180,0
2172,0
2454,0
2933,0
4092,0
1396,1
4089,1
2323,1
1554,0
5722,1
3460,0
1922,0
5768,0
2039,1
4686,0
2945,0
6125,1
4005,1
3151,0
616,0
4369,1
1945,0
1915,0
1976,1
2531,0
5011,0
6358,0
5119,0
6525,0
5574,0
4950,1
2245,0
3608,1
2108,0
1905,0
3980,1
4895,0
6119,0
3800,0
6583,0
5374,1
7031,0
5798,1
1656,0
4396,1
2150,0
5656,0
5662,1
3143,0
2104,1
2154,0
1810,0
3965,0
5615,1
1480,0
3237,0
2542,0
4203,0
2074,1
3144,0
3827,0
433,1
319,0
2506,0
6979,0
5622,1
66,0
2445,0
2668,1
5969,0
1154,0
4347,0
3089,0
3232,0
2553,0
4165,0
2589,1
4250,0
4510,0
2290,1
4010,0
2064,0
4529,0
349,0
3041,0
5113,0
603,0
4394,0
5264,0
527,0
5533,0
3699,0
364,0
4094,0
6835,0
19,0
4454,0
6688,0
1912,0
516,0
3153,0
1460,1
4635,0
4682,1
3582,0
2804,1
6234,0
4518,1
6755,0
2177,0
4593,0
3925,0
2078,0
5000,0
1875,0
3809,0
2852,0
1467,0
2611,1
6194,0
1295,0
5633,0
2415,1
1777,0
6719,0
1115,0
5812,1
982,0
2266,0
4332,0
5337,0
1534,0
30,0
4612,0
4730,0
4857,0
6465,0
4284,0
3570,0
4563,1
75,0
5080,0
295,0
2812,1
4172,0
3566,0
5137,0
5108,0
6928,0
192,0
2866,0
2169,0
2450,0
568,1
4128,1
4205,0
6135,0
5816,0
4996,0
3306,0
6785,1
6177,1
405,0
6911,0
4155,0
5178,0
6993,1
585,1
5336,0
7019,0
5819,0
2604,0
2435,0
2590,0
298,0
4214,1
2231,1
4174,1
2622,0
2291,1
6006,0
2620,0
4253,0
3590,0
342,0
3384,1
2707,1
742,1
2250,0
660,1
4497,0
5747,0
6807,0
4938,1
6323,0
4474,0
2692,0
1145,0
5060,0
3301,1
1022,0
6355,0
6491,1
927,1
5844,0
87,0
4584,0
2206,1
3302,1
3947,0
1463,1
3109,0
5857,1
186,0
3748,0
5765,1
2148,0
5034,0
691,0
3461,0
5757,0
3697,0
6466,0
4111,0
48,0
5144,0
3811,0
1404,0
988,0
353,1
891,1
855,1
4556,1
5461,0
4595,0
4321,0
3248,1
4646,0
765,0
3668,0
4231,0
6879,0
5490,0
2693,0
3596,1
562,0
6264,0
3351,1
5437,1
1171,1
3610,1
2460,0
4430,0
4521,0
6566,0
3666,1
4818,0
2593,0
6511,0
1202,1
3295,0
1979,0
1271,0
2706,1
6775,0
1892,0
5901,1
555,0
2157,0
1614,0
4138,1
5523,0
5223,0
1451,0
5720,0
4393,1
4732,0
5046,0
2837,1
4702,0
6381,0
6686,0
618,0
2091,0
709,0
1293,0
4513,1
1605,0
6832,0
3552,0
4494,0
4500,0
2607,1
2446,1
2255,0
3006,1
4953,0
229,0
6402,0
3308,0
2179,0
2085,1
459,0
6572,0
3044,1
4039,0
3157,1
6996,1
194,0
2820,0
1927,1
4077,0
668,1
2786,0
2440,0
2746,0
2690,1
1916,1
5495,1
5531,0
4968,0
521,0
2687,0
2175,1
1540,0
2796,0
297,0
1901,0
4105,0
14,0
3934,0
580,1
612,0
6798,0
264,0
4638,1
2416,0
1753,0
2443,0
5657,0
4135,0
5643,1
4108,0
6670,0
1760,0
4783,0
3022,0
5363,0
2533,0
3655,0
6146,1
5679,1
4314,1
6485,0
6537,1
5801,0
5800,0
4578,0
2947,0
5355,0
4850,0
5688,0
6535,1
5712,0
4644,0
4763,0
543,1
3233,0
6662,0
6602,0
5881,0
3459,0
3300,0
6611,0
22,1
6697,0
6360,1
3236,0
2513,0
1923,0
5369,0
3708,0
510,0
403,0
5567,0
3897,0
4573,0
4060,0
3186,0
4298,0
2530,0
2641,0
7036,0
1847,0
2068,0
2896,0
2971,0
6013,0
3405,0
5508,0
5620,0
495,1
2329,0
6575,0
2862,1
6497,0
2843,0
5445,0
1186,0
5805,0
787,0
3314,0
6054,1
3191,0
2625,0
2917,0
2338,0
4570,0
5919,0
5393,1
4041,0
5399,0
4164,0
5153,0
2419,0
3949,0
741,0
2863,0
5685,0
277,0
4752,0
6822,1
3958,1
3710,0
3595,1
4660,1
2878,0
3855,0
2049,0
1420,0
6671,0
2975,0
2096,1
6538,1
5293,0
1005,0
6858,1
7022,0
78,0
4981,1
1327,1
3525,1
6938,0
2810,0
6810,1
2723,0
4891,0
6589,0
2951,0
4974,1
1584,0
2720,1
4418,1
2601,0
3129,0
1677,0
2399,0
1387,0
558,0
4922,0
202,0
1734,1
5664,1
3367,0
3591,1
5522,1
2605,0
6605,1
1472,1
5600,1
479,1
3250,0
3000,1
4006,0
4663,1
2748,1
4997,1
3844,1
332,0
4909,0
1312,0
586,0
2766,0
5497,1
2916,0
3005,0
6002,1
4949,1
6224,0
1490,0
4405,1
6931,0
2648,0
3003,1
6523,0
6314,0
6439,0
2362,0
4942,1
482,0
171,1
2451,1
4720,0
3087,1
190,0
2299,0
1134,0
6598,0
5569,1
2088,0
915,1
1324,1
2121,0
1172,0
4715,0
3478,0
1208,1
1705,0
4233,0
970,1
4531,1
4684,1
1112,0
6929,0
4446,1
1744,0
6170,0
5288,1
6030,1
2740,1
5081,0
6164,0
5032,0
6691,0
6287,1
2226,0
1786,1
6367,0
3715,0
6811,1
5289,0
1073,1
2195,0
2214,1
4261,0
3252,0
4043,0
6310,0
4207,0
2216,0
226,0
2841,0
1812,0
2626,0
4923,0
224,0
6509,1
6158,0
2567,1
1886,0
4184,1
385,1
6259,0
1077,1
472,0
2340,0
3635,0
4208,0
4248,0
4902,0
3943,0
4719,1
2135,0
6174,1
1095,0
1882,0
1014,1
6113,0
1931,0
6958,0
36,1
6428,1
4935,0
5628,1
131,1
5743,0
2089,0
6297,0
6001,0
6128,0
4520,1
4764,1
1500,0
5512,0
6152,1
6852,0
6346,1
6480,0
4285,0
2709,0
6270,0
1708,1
2401,0
2536,1
3740,0
2060,0
2308,0
4808,0
3739,0
6193,0
11,0
3142,1
1836,1
6992,0
5991,1
3713,1
2889,0
4681,1
4544,1
6708,1
1346,1
6169,1
5050,1
4168,0
5941,0
1716,0
5302,0
4160,0
3033,0
2055,0
995,1
4398,0
6147,0
5608,0
5930,0
1325,1
1476,0
760,0
4325,0
1425,0
6445,0
5761,0
5381,1
5739,0
3505,0
1228,0
4852,0
1966,0
89,0
3722,0
2688,1
1159,1
1053,1
2946,0
6624,0
5383,1
3021,0
4008,0
378,0
5420,0
4672,0
4114,0
2040,0
2600,0
4249,0
1871,0
3426,1
4150,0
969,1
2428,1
804,1
3333,0
5884,1
1527,0
3058,1
1543,1
2306,0
3553,0
5501,0
2151,0
3513,0
2075,0
3082,0
3356,1
929,0
2586,0
550,0
3408,1
5313,0
3883,0
3428,1
1560,0
2321,0
161,1
4699,0
6183,0
923,0
4490,0
5462,0
4760,0
2063,0
368,0
5038,0
1813,0
2249,0
1990,1
2254,0
462,1
980,0
